native_frame,mame_frame,mame_rider_y,native_rider_y,mame_hoop_x_8_8,native_hoop_x_8_8,mame_collision,native_collision,mame_landing,native_landing,mame_score_event,native_score_event,match,mame_rider_state,native_rider_state,native_hd_frame,native_anchor_x,native_anchor_y
109,1431,d0,d0,d380,d380,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
110,1432,d0,d0,d180,d180,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
111,1433,d0,d0,cf80,cf80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
112,1434,d0,d0,cd80,cd80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
113,1435,d0,d0,cb80,cb80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
114,1436,d0,d0,c980,c980,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
115,1437,d0,d0,c780,c780,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
116,1438,d0,d0,c580,c580,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
117,1439,d0,d0,c380,c380,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
118,1440,d0,d0,c180,c180,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
119,1441,d0,d0,bf80,bf80,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
