frame,active_signature
1121,large[2700 x=7780]
1122,large[2700 x=7580]
1123,large[2700 x=7380]
1124,large[2700 x=7180]
1125,large[2700 x=6f80]
1126,large[2700 x=6d80]
1127,large[2700 x=6b80]
1128,large[2700 x=6980]
1129,large[2700 x=6780]
1130,large[2700 x=6580]
1131,large[2700 x=6380]
1132,large[2700 x=6180]
1133,large[2700 x=5f80]
1134,large[2700 x=5d80]
1135,large[2700 x=5b80]
1136,large[2700 x=5980]
1137,large[2700 x=5780]
1138,large[2700 x=5580]
1139,large[2700 x=5380]
1140,large[2700 x=5180]
1141,large[2700 x=4f80]
1142,large[2700 x=4d80]
1143,large[2700 x=4b80]
1144,large[2700 x=4980]
1145,large[2700 x=4780]
1146,large[2700 x=4580]
1147,large[2700 x=4380]
1148,large[2700 x=4180]
